Retail Transaction Statistics
Item 284: 29
Item 285: 138
Item 286: 268
Item 287: 1183
Item 288: 40
Item 289: 147
Item 290: 181
Item 291: 117
Item 292: 117
Item 293: 84
Item 294: 56
Item 295: 8
Item 296: 58
Item 297: 4
Item 298: 525
Item 299: 86
Item 300: 23
Item 301: 37
Item 302: 1204
Item 303: 8
Item 304: 3
Item 305: 41
Item 306: 75
Item 307: 24
Item 308: 48
Item 309: 263
Item 310: 309
Item 311: 2594
Item 312: 103
Item 313: 91
Item 314: 71
Item 315: 204
Item 316: 130
Item 317: 7
Item 318: 127
Item 319: 56
Item 320: 435
Item 321: 305
Item 322: 50
Item 323: 81
Item 324: 45
Item 325: 52
Item 326: 193
Item 327: 90
Item 328: 5
Item 329: 162
Item 330: 62
Item 331: 118
Item 332: 194
Item 333: 116
Item 334: 30
Item 335: 774
Item 336: 97
Item 337: 84
Item 338: 224
Item 339: 1274
Item 340: 39
Item 341: 643
Item 342: 396
Item 343: 319
Item 344: 29
Item 345: 262
Item 346: 490
Item 347: 335
Item 348: 264
Item 349: 138
Item 350: 106
Item 351: 248
Item 352: 420
Item 353: 438
Item 354: 2
Item 355: 4
Item 356: 2
Item 357: 2
Item 358: 147
Item 359: 85
Item 360: 28
Item 361: 1
Item 362: 90
Item 363: 97
Item 364: 109
Item 365: 174
Item 366: 442
Item 367: 16
Item 368: 87
Item 369: 179
Item 370: 103
Item 371: 375
Item 372: 782
Item 373: 49
Item 374: 79
Item 375: 584
Item 376: 99
Item 377: 6
Item 378: 67
Item 379: 82
Item 380: 677
Item 381: 85
Item 382: 95
Item 383: 210
Item 384: 14
Item 385: 437
Item 386: 54
Item 387: 111
Item 388: 129
Item 389: 248
Item 390: 831
Item 391: 376
Item 392: 44
Item 393: 239
Item 394: 148
Item 395: 23
Item 396: 122
Item 397: 674
Item 398: 307
Item 399: 515
Item 400: 235
Item 401: 41
Item 402: 124
Item 403: 221
Item 404: 81
Item 405: 54
Item 406: 879
Item 407: 228
Item 408: 693
Item 409: 479
Item 410: 110
Item 411: 70
Item 412: 119
Item 413: 284
Item 414: 1880
Item 415: 263
Item 416: 412
Item 417: 105
Item 418: 22
Item 419: 481
Item 420: 47
Item 421: 600
Item 422: 183
Item 423: 150
Item 424: 288
Item 425: 352
Item 426: 606
Item 427: 508
Item 428: 96
Item 429: 43
Item 430: 34
Item 431: 84
Item 432: 78
Item 433: 466
Item 434: 321
Item 435: 207
Item 436: 136
Item 437: 28
Item 438: 33
Item 439: 1863
Item 440: 54
Item 441: 235
Item 442: 609
Item 443: 218
Item 444: 16
Item 445: 173
Item 446: 174
Item 447: 112
Item 448: 231
Item 449: 125
Item 450: 690
Item 451: 4
Item 452: 117
Item 453: 93
Item 454: 64
Item 455: 147
Item 456: 33
Item 457: 6
Item 458: 19
Item 459: 151
Item 460: 104
Item 461: 166
Item 462: 6
Item 463: 1
Item 464: 79
Item 465: 695
Item 466: 41
Item 467: 62
Item 468: 175
Item 469: 105
Item 470: 74
Item 471: 72
Item 472: 1
Item 473: 8
Item 474: 4
Item 475: 13
Item 476: 2167
Item 477: 102
Item 478: 34
Item 479: 133
Item 480: 926
Item 481: 73
Item 482: 102
Item 483: 27
Item 484: 88
Item 485: 30
Item 486: 202
Item 487: 231
Item 488: 27
Item 489: 720
Item 490: 259
Item 491: 445
Item 492: 244
Item 493: 259
Item 494: 221
Item 495: 84
Item 496: 124
Item 497: 3
Item 498: 346
Item 499: 45
Item 500: 118
Item 501: 202
Item 502: 319
Item 503: 110
Item 504: 77
Item 505: 298
Item 506: 97
Item 507: 61
Item 508: 24
Item 509: 97
Item 510: 54
Item 511: 12
Item 512: 283
Item 513: 72
Item 514: 101
Item 515: 427
Item 516: 63
Item 517: 129
Item 518: 33
Item 519: 133
Item 520: 69
Item 521: 22
Item 522: 122
Item 523: 974
Item 524: 53
Item 525: 60
Item 526: 225
Item 527: 107
Item 528: 141
Item 529: 44
Item 530: 224
Item 531: 19
Item 532: 25
Item 533: 99
Item 534: 1487
Item 535: 316
Item 536: 718
Item 537: 262
Item 538: 32
Item 539: 41
Item 540: 112
Item 541: 59
Item 542: 157
Item 543: 18
Item 544: 295
Item 545: 851
Item 546: 9
Item 547: 71
Item 548: 428
Item 549: 1137
Item 550: 843
Item 551: 260
Item 552: 43
Item 553: 259
Item 554: 69
Item 555: 119
Item 556: 202
Item 557: 56
Item 558: 4
Item 559: 212
Item 560: 14
Item 561: 227
Item 562: 116
Item 563: 1
Item 564: 270
Item 565: 68
Item 566: 237
Item 567: 203
Item 568: 146
Item 569: 20
Item 570: 121
Item 571: 792
Item 572: 513
Item 573: 179
Item 574: 192
Item 575: 73
Item 576: 39
Item 577: 255
Item 578: 112
Item 579: 74
Item 580: 10
Item 581: 60
Item 582: 574
Item 583: 86
Item 584: 222
Item 585: 189
Item 586: 110
Item 587: 99
Item 588: 261
Item 589: 61
Item 590: 1119
Item 591: 40
Item 592: 432
Item 593: 1227
Item 594: 194
Item 595: 104
Item 596: 119
Item 597: 211
Item 598: 251
Item 599: 78
Item 600: 235
Item 601: 5
Item 602: 20
Item 603: 16
Item 604: 73
Item 605: 1209
Item 606: 70
Item 607: 239
Item 608: 28
Item 609: 57
Item 610: 16
Item 611: 346
Item 612: 280
Item 613: 259
Item 614: 5
Item 615: 123
Item 616: 274
Item 617: 31
Item 618: 2
Item 619: 141
Item 620: 72
Item 621: 49
Item 622: 185
Item 623: 317
Item 624: 525
Item 625: 2
Item 626: 56
Item 627: 102
Item 628: 50
Item 629: 79
Item 630: 5
Item 631: 5
Item 632: 5
Item 633: 29
Item 634: 3
Item 635: 1
Item 636: 37
Item 637: 185
Item 638: 148
Item 639: 30
Item 640: 216
Item 641: 359
Item 642: 109
Item 643: 4
Item 644: 336
Item 645: 59
Item 646: 100
Item 647: 75
Item 648: 258
Item 649: 61
Item 650: 857
Item 651: 228
Item 652: 247
Item 653: 325
Item 654: 339
Item 655: 17
Item 656: 57
Item 657: 48
Item 658: 13
Item 659: 2
Item 660: 118
Item 661: 224
Item 662: 90
Item 663: 286
Item 664: 6
Item 665: 752
Item 666: 76
Item 667: 69
Item 668: 50
Item 669: 99
Item 670: 81
Item 671: 38
Item 672: 56
Item 673: 30
Item 674: 263
Item 675: 96
Item 676: 601
Item 677: 57
Item 678: 1110
Item 679: 26
Item 680: 28
Item 681: 95
Item 682: 704
Item 683: 296
Item 684: 174
Item 685: 277
Item 686: 112
Item 687: 8
Item 688: 108
Item 689: 14
Item 690: 11
Item 691: 149
Item 692: 146
Item 693: 95
Item 694: 21
Item 695: 412
Item 696: 193
Item 697: 156
Item 698: 300
Item 699: 185
Item 700: 152
Item 701: 43
Item 702: 42
Item 703: 83
Item 704: 806
Item 705: 526
Item 706: 127
Item 707: 210
Item 708: 58
Item 709: 244
Item 710: 22
Item 711: 75
Item 712: 210
Item 713: 142
Item 714: 207
Item 715: 129
Item 716: 382
Item 717: 60
Item 718: 10
Item 719: 287
Item 720: 120
Item 721: 126
Item 722: 12
Item 723: 29
Item 724: 119
Item 725: 12
Item 726: 141
Item 727: 2
Item 728: 383
Item 729: 116
Item 730: 146
Item 731: 369
Item 732: 193
Item 733: 71
Item 734: 76
Item 735: 366
Item 736: 21
Item 737: 96
Item 738: 53
Item 739: 116
Item 740: 213
Item 741: 1181
Item 742: 100
Item 743: 121
Item 744: 118
Item 745: 82
Item 746: 24
Item 747: 88
Item 748: 2
Item 749: 10
Item 750: 261
Item 751: 161
Item 752: 328
Item 753: 66
Item 754: 261
Item 755: 96
Item 756: 200
Item 757: 74
Item 758: 260
Item 759: 83
Item 760: 235
Item 761: 243
Item 762: 74
Item 763: 137
Item 764: 190
Item 765: 280
Item 766: 78
Item 767: 797
Item 768: 248
Item 769: 354
Item 770: 329
Item 771: 166
Item 772: 98
Item 773: 752
Item 774: 81
Item 775: 89
Item 776: 21
Item 777: 22
Item 778: 76
Item 779: 9
Item 780: 133
Item 781: 32
Item 782: 182
Item 783: 3
Item 784: 965
Item 785: 15
Item 786: 369
Item 787: 16
Item 788: 39
Item 789: 136
Item 790: 648
Item 791: 523
Item 792: 175
Item 793: 129
Item 794: 494
Item 795: 81
Item 796: 251
Item 797: 96
Item 798: 96
Item 799: 503
Item 800: 125
Item 801: 97
Item 802: 156
Item 803: 5
Item 804: 106
Item 805: 86
Item 806: 274
Item 807: 741
Item 808: 187
Item 809: 482
Item 810: 626
Item 811: 111
Item 812: 118
Item 813: 821
Item 814: 191
Item 815: 58
Item 816: 131
Item 817: 107
Item 818: 369
Item 819: 32
Item 820: 26
Item 821: 125
Item 822: 116
Item 823: 98
Item 824: 58
Item 825: 1210
Item 826: 124
Item 827: 144
Item 828: 92
Item 829: 199
Item 830: 352
Item 831: 428
Item 832: 454
Item 833: 122
Item 834: 139
Item 835: 37
Item 836: 107
Item 837: 39
Item 838: 257
Item 839: 127
Item 840: 95
Item 841: 391
Item 842: 4
Item 843: 412
Item 844: 82
Item 845: 47
Item 846: 141
Item 847: 595
Item 848: 18
Item 849: 170
Item 850: 234
Item 851: 34
Item 852: 231
Item 853: 58
Item 854: 5
Item 855: 151
Item 856: 519
Item 857: 494
Item 858: 106
Item 859: 11
Item 860: 112
Item 861: 96
Item 862: 205
Item 863: 105
Item 864: 23
Item 865: 66
Item 866: 632
Item 867: 72
Item 868: 23
Item 869: 3
Item 870: 57
Item 871: 30
Item 872: 73
Item 873: 29
Item 874: 40
Item 875: 189
Item 876: 113
Item 877: 65
Item 878: 175
Item 879: 570
Item 880: 120
Item 881: 222
Item 882: 10
Item 883: 62
Item 884: 45
Item 885: 12
Item 886: 576
Item 887: 64
Item 888: 235
Item 889: 68
Item 890: 21
Item 891: 88
Item 892: 7
Item 893: 164
Item 894: 69
Item 895: 92
Item 896: 2
Item 897: 225
Item 898: 95
Item 899: 99
Item 900: 157
Item 901: 8
Item 902: 90
Item 903: 65
Item 904: 376
Item 905: 79
Item 906: 147
Item 907: 38
Item 908: 287
Item 909: 15
Item 910: 161
Item 911: 519
Item 912: 237
Item 913: 53
Item 914: 543
Item 915: 146
Item 916: 137
Item 917: 543
Item 918: 22
Item 919: 123
Item 920: 145
Item 921: 26
Item 922: 322
Item 923: 141
Item 924: 2
Item 925: 252
Item 926: 253
Item 927: 240
Item 928: 301
Item 929: 47
Item 930: 99
Item 931: 123
Item 932: 123
Item 933: 262
Item 934: 10
Item 935: 13
Item 936: 26
Item 937: 55
Item 938: 48
Item 939: 290
Item 940: 209
Item 941: 79
Item 942: 137
Item 943: 163
Item 944: 132
Item 945: 140
Item 946: 29
Item 947: 1
Item 948: 591
Item 949: 49
Item 950: 1
Item 951: 13
Item 952: 24
Item 953: 40
Item 954: 23
Item 955: 38
Item 956: 7
Item 957: 911
Item 958: 56
Item 959: 171
Item 960: 148
Item 961: 102
Item 962: 540
Item 963: 88
Item 964: 152
Item 965: 2
Item 966: 38
Item 967: 187
Item 968: 122
Item 969: 197
Item 970: 62
Item 971: 31
Item 972: 81
Item 973: 10
Item 974: 189
Item 975: 160
Item 976: 110
Item 977: 817
Item 978: 2
Item 979: 371
Item 980: 439
Item 981: 108
Item 982: 187
Item 983: 112
Item 984: 152
Item 985: 334
Item 986: 109
Item 987: 173
Item 988: 255
Item 989: 13
Item 990: 302
Item 991: 59
Item 992: 164
Item 993: 24
Item 994: 344
Item 995: 114
Item 996: 45
Item 997: 53
Item 998: 81
Item 999: 14
Item 1000: 13
Item 1001: 423
Item 1002: 287
Item 1003: 98
Item 1004: 387
Item 1005: 1102
Item 1006: 50
Item 1007: 2
Item 1008: 6
Item 1009: 156
Item 1010: 57
Item 1011: 266
Item 1012: 54
Item 1013: 230
Item 1014: 260
Item 1015: 261
Item 1016: 149
Item 1017: 212
Item 1018: 39
Item 1019: 97
Item 1020: 84
Item 1021: 465
Item 1022: 112
Item 1023: 99
Item 1024: 201
Item 1025: 123
Item 1026: 218
Item 1027: 256
Item 1028: 346
Item 1029: 72
Item 1030: 23
Item 1031: 127
Item 1032: 135
Item 1033: 7
Item 1034: 35
Item 1035: 310
Item 1036: 157
Item 1037: 7
Item 1038: 16
Item 1039: 13
Item 1040: 56
Item 1041: 59
Item 1042: 32
Item 1043: 35
Item 1044: 551
Item 1045: 21
Item 1046: 107
Item 1047: 365
Item 1048: 3
Item 1049: 131
Item 1050: 65
Item 1051: 40
Item 1052: 73
Item 1053: 401
Item 1054: 134
Item 1055: 159
Item 1056: 191
Item 1057: 121
Item 1058: 97
Item 1059: 64
Item 1060: 63
Item 1061: 210
Item 1062: 84
Item 1063: 433
Item 1064: 202
Item 1065: 75
Item 1066: 24
Item 1067: 411
Item 1068: 584
Item 1069: 63
Item 1070: 68
Item 1071: 88
Item 1072: 232
Item 1073: 232
Item 1074: 105
Item 1075: 52
Item 1076: 89
Item 1077: 84
Item 1078: 54
Item 1079: 44
Item 1080: 51
Item 1081: 295
Item 1082: 337
Item 1083: 379
Item 1084: 118
Item 1085: 93
Item 1086: 235
Item 1087: 53
Item 1088: 16
Item 1089: 3
Item 1090: 36
Item 1091: 143
Item 1092: 52
Item 1093: 11
Item 1094: 77
Item 1095: 147
Item 1096: 127
Item 1097: 271
Item 1098: 2
Item 1099: 31
Item 1100: 18
Item 1101: 29
Item 1102: 140
Item 1103: 60
Item 1104: 407
Item 1105: 247
Item 1106: 141
Item 1107: 46
Item 1108: 131
Item 1109: 10
Item 1110: 26
Item 1111: 8
Item 1112: 80
Item 1113: 28
Item 1114: 448
Item 1115: 79
Item 1116: 192
Item 1117: 27
Item 1118: 1
Item 1119: 37
Item 1120: 55
Item 1121: 162
Item 1122: 425
Item 1123: 63
Item 1124: 148
Item 1125: 148
Item 1126: 1
Item 1127: 425
Item 1128: 85
Item 1129: 101
Item 1130: 65
Item 1131: 167
Item 1132: 46
Item 1133: 63
Item 1134: 15
Item 1135: 64
Item 1136: 667
Item 1137: 26
Item 1138: 32
Item 1139: 105
Item 1140: 134
Item 1141: 80
Item 1142: 56
Item 1143: 31
Item 1144: 253
Item 1145: 599
Item 1146: 149
Item 1147: 1426
Item 1148: 14
Item 1149: 51
Item 1150: 11
Item 1151: 11
Item 1152: 17
Item 1153: 97
Item 1154: 107
Item 1155: 90
Item 1156: 59
Item 1157: 83
Item 1158: 20
Item 1159: 428
Item 1160: 197
Item 1161: 247
Item 1162: 214
Item 1163: 3
Item 1164: 256
Item 1165: 8
Item 1166: 149
Item 1167: 179
Item 1168: 32
Item 1169: 57
Item 1170: 3
Item 1171: 3
Item 1172: 3
Item 1173: 295
Item 1174: 116
Item 1175: 18
Item 1176: 10
Item 1177: 24
Item 1178: 29
Item 1179: 174
Item 1180: 61
Item 1181: 167
Item 1182: 21
Item 1183: 78
Item 1184: 265
Item 1185: 181
Item 1186: 332
Item 1187: 20
Item 1188: 11
Item 1189: 276
Item 1190: 39
Item 1191: 6
Item 1192: 122
Item 1193: 193
Item 1194: 8
Item 1195: 12
Item 1196: 65
Item 1197: 325
Item 1198: 87
Item 1199: 660
Item 1200: 28
Item 1201: 32
Item 1202: 14
Item 1203: 39
Item 1204: 52
Item 1205: 34
Item 1206: 37
Item 1207: 21
Item 1208: 25
Item 1209: 2
Item 1210: 324
Item 1211: 115
Item 1212: 53
Item 1213: 3
Item 1214: 47
Item 1215: 391
Item 1216: 174
Item 1217: 58
Item 1218: 52
Item 1219: 99
Item 1220: 159
Item 1221: 54
Item 1222: 23
Item 1223: 39
Item 1224: 5
Item 1225: 29
Item 1226: 10
Item 1227: 23
Item 1228: 154
Item 1229: 118
Item 1230: 61
Item 1231: 80
Item 1232: 4
Item 1233: 272
Item 1234: 210
Item 1235: 44
Item 1236: 78
Item 1237: 62
Item 1238: 117
Item 1239: 7
Item 1240: 569
Item 1241: 13
Item 1242: 9
Item 1243: 66
Item 1244: 36
Item 1245: 131
Item 1246: 41
Item 1247: 155
Item 1248: 66
Item 1249: 22
Item 1250: 237
Item 1251: 118
Item 1252: 94
Item 1253: 58
Item 1254: 64
Item 1255: 66
Item 1256: 13
Item 1257: 30
Item 1258: 383
Item 1259: 37
Item 1260: 26
Item 1261: 94
Item 1262: 23
Item 1263: 76
Item 1264: 63
Item 1265: 139
Item 1266: 97
Item 1267: 10
Item 1268: 9
Item 1269: 92
Item 1270: 279
Item 1271: 3
Item 1272: 10
Item 1273: 55
Item 1274: 79
Item 1275: 94
Item 1276: 219
Item 1277: 47
Item 1278: 420
Item 1279: 22
Item 1280: 25
Item 1281: 283
Item 1282: 298
Item 1283: 289
Item 1284: 75
Item 1285: 52
Item 1286: 93
Item 1287: 155
Item 1288: 21
Item 1289: 87
Item 1290: 3
Item 1291: 178
Item 1292: 277
Item 1293: 31
Item 1294: 81
Item 1295: 277
Item 1296: 62
Item 1297: 86
Item 1298: 129
Item 1299: 23
Item 1300: 2
Item 1301: 21
Item 1302: 53
Item 1303: 50
Item 1304: 31
Item 1305: 32
Item 1306: 34
Item 1307: 29
Item 1308: 115
Item 1309: 343
Item 1310: 144
Item 1311: 61
Item 1312: 145
Item 1313: 105
Item 1314: 392
Item 1315: 14
Item 1316: 192
Item 1317: 132
Item 1318: 73
Item 1319: 249
Item 1320: 141
Item 1321: 109
Item 1322: 47
Item 1323: 38
Item 1324: 48
Item 1325: 67
Item 1326: 39
Item 1327: 2
Item 1328: 1786
Item 1329: 5
Item 1330: 132
Item 1331: 71
Item 1332: 58
Item 1333: 243
Item 1334: 311
Item 1335: 45
Item 1336: 32
Item 1337: 85
Item 1338: 82
Item 1339: 7
Item 1340: 35
Item 1341: 97
Item 1342: 40
Item 1343: 212
Item 1344: 214
Item 1345: 753
Item 1346: 226
Item 1347: 9
Item 1348: 27
Item 1349: 55
Item 1350: 54
Item 1351: 54
Item 1352: 14
Item 1353: 142
Item 1354: 138
Item 1355: 167
Item 1356: 512
Item 1357: 24
Item 1358: 101
Item 1359: 40
Item 1360: 36
Item 1361: 337
Item 1362: 400
Item 1363: 132
Item 1364: 70
Item 1365: 36
Item 1366: 16
Item 1367: 1
Item 1368: 3
Item 1369: 163
Item 1370: 101
Item 1371: 26
Item 1372: 123
Item 1373: 253
Item 1374: 77
Item 1375: 3
Item 1376: 36
Item 1377: 139
Item 1378: 7
Item 1379: 244
Item 1380: 283
Item 1381: 209
Item 1382: 43
Item 1383: 73
Item 1384: 10
Item 1385: 109
Item 1386: 110
Item 1387: 3
Item 1388: 213
Item 1389: 48
Item 1390: 4
Item 1391: 193
Item 1392: 7
Item 1393: 104
Item 1394: 1161
Item 1395: 94
Item 1396: 239
Item 1397: 150
Item 1398: 103
Item 1399: 7
Item 1400: 9
Item 1401: 72
Item 1402: 48
Item 1403: 94
Item 1404: 93
Item 1405: 446
Item 1406: 7
Item 1407: 10
Item 1408: 76
Item 1409: 196
Item 1410: 82
Item 1411: 138
Item 1412: 20
Item 1413: 15
Item 1414: 35
Item 1415: 36
Item 1416: 151
Item 1417: 45
Item 1418: 536
Item 1419: 3
Item 1420: 2
Item 1421: 4
Item 1422: 96
Item 1423: 120
Item 1424: 95
Item 1425: 95
Item 1426: 341
Item 1427: 134
Item 1428: 2
Item 1429: 190
Item 1430: 27
Item 1431: 188
Item 1432: 12
Item 1433: 11
Item 1434: 194
Item 1435: 37
Item 1436: 765
Item 1437: 19
Item 1438: 66
Item 1439: 9
Item 1440: 165
Item 1441: 134
Item 1442: 2
Item 1443: 66
Item 1444: 25
Item 1445: 339
Item 1446: 84
Item 1447: 83
Item 1448: 24
Item 1449: 95
Item 1450: 2
Item 1451: 27
Item 1452: 28
Item 1453: 10
Item 1454: 4
Item 1455: 54
Item 1456: 130
Item 1457: 152
Item 1458: 4
Item 1459: 1
Item 1460: 218
Item 1461: 7
Item 1462: 54
Item 1463: 40
Item 1464: 68
Item 1465: 67
Item 1466: 25
Item 1467: 60
Item 1468: 9
Item 1469: 99
Item 1470: 75
Item 1471: 86
Item 1472: 23
Item 1473: 28
Item 1474: 135
Item 1475: 26
Item 1476: 117
Item 1477: 237
Item 1478: 33
Item 1479: 103
Item 1480: 472
Item 1481: 88
Item 1482: 409
Item 1483: 102
Item 1484: 45
Item 1485: 70
Item 1486: 37
Item 1487: 423
Item 1488: 23
Item 1489: 111
Item 1490: 299
Item 1491: 7
Item 1492: 11
Item 1493: 9
Item 1494: 27
Item 1495: 88
Item 1496: 46
Item 1497: 27
Item 1498: 253
Item 1499: 150
Item 1500: 12
Item 1501: 7
Item 1502: 15
Item 1503: 9
Item 1504: 160
Item 1505: 53
Item 1506: 22
Item 1507: 9
Item 1508: 7
Item 1509: 25
Item 1510: 20
Item 1511: 4
Item 1512: 1
Item 1513: 1
Item 1514: 422
Item 1515: 1
Item 1516: 84
Item 1517: 19
Item 1518: 192
Item 1519: 66
Item 1520: 66
Item 1521: 109
Item 1522: 2
Item 1523: 20
Item 1524: 29
Item 1525: 55
Item 1526: 75
Item 1527: 30
Item 1528: 228
Item 1529: 9
Item 1530: 322
Item 1531: 101
Item 1532: 25
Item 1533: 20
Item 1534: 88
Item 1535: 90
Item 1536: 7
Item 1537: 150
Item 1538: 197
Item 1539: 221
Item 1540: 7
Item 1541: 116
Item 1542: 20
Item 1543: 89
Item 1544: 419
Item 1545: 11
Item 1546: 105
Item 1547: 62
Item 1548: 154
Item 1549: 85
Item 1550: 53
Item 1551: 43
Item 1552: 60
Item 1553: 28
Item 1554: 8
Item 1555: 1
Item 1556: 85
Item 1557: 68
Item 1558: 415
Item 1559: 90
Item 1560: 69
Item 1561: 26
Item 1562: 137
Item 1563: 374
Item 1564: 10
Item 1565: 283
Item 1566: 24
Item 1567: 26
Item 1568: 7
Item 1569: 165
Item 1570: 153
Item 1571: 140
Item 1572: 5
Item 1573: 28
Item 1574: 2
Item 1575: 30
Item 1576: 87
Item 1577: 123
Item 1578: 22
Item 1579: 874
Item 1580: 139
Item 1581: 45
Item 1582: 59
Item 1583: 3
Item 1584: 12
Item 1585: 15
Item 1586: 450
Item 1587: 47
Item 1588: 118
Item 1589: 181
Item 1590: 37
Item 1591: 293
Item 1592: 247
Item 1593: 194
Item 1594: 222
Item 1595: 244
Item 1596: 254
Item 1597: 161
Item 1598: 74
Item 1599: 191
Item 1600: 50
Item 1601: 801
Item 1602: 8
Item 1603: 270
Item 1604: 184
Item 1605: 105
Item 1606: 7
Item 1607: 51
Item 1608: 42
Item 1609: 20
Item 1610: 249
Item 1611: 23
Item 1612: 147
Item 1613: 172
Item 1614: 154
Item 1615: 55
Item 1616: 180
Item 1617: 270
Item 1618: 54
Item 1619: 66
Item 1620: 372
Item 1621: 35
Item 1622: 7
Item 1623: 9
Item 1624: 5
Item 1625: 148
Item 1626: 87
Item 1627: 31
Item 1628: 21
Item 1629: 62
Item 1630: 264
Item 1631: 37
Item 1632: 78
Item 1633: 6
Item 1634: 4
Item 1635: 108
Item 1636: 57
Item 1637: 23
Item 1638: 70
Item 1639: 339
Item 1640: 56
Item 1641: 183
Item 1642: 54
Item 1643: 195
Item 1644: 57
Item 1645: 81
Item 1646: 4
Item 1647: 73
Item 1648: 43
Item 1649: 12
Item 1650: 1
Item 1651: 85
Item 1652: 39
Item 1653: 228
